Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
2,9,14,22,5,8,12,11,5,yes
4,24,15,36,4,11,19,11,5,yes
3,34,11,33,8,13,37,9,3,no
2,29,19,27,4,5,26,14,4,no
3,16,11,27,8,9,13,13,3,yes
1,26,24,17,10,2,38,11,2,yes
0,20,11,16,13,5,24,9,3,no
2,24,5,29,3,5,23,21,7,no
6,24,9,18,0,4,15,12,3,yes
1,28,16,30,6,5,20,17,10,yes
0,19,11,26,15,9,28,15,8,no
4,28,13,20,2,2,21,10,3,yes
2,27,11,32,3,4,16,9,1,no
2,22,11,34,2,12,27,16,1,no
4,37,12,21,6,9,35,13,2,yes
2,22,16,19,5,7,9,13,4,no
3,26,12,22,6,12,19,16,2,yes
6,20,12,28,3,5,25,7,7,yes
1,33,7,27,7,7,34,14,7,no
2,25,17,16,7,10,26,4,3,no
1,27,8,29,10,11,26,3,2,yes
4,25,10,29,6,5,13,8,2,yes
1,19,12,21,6,11,17,14,3,no
1,22,4,15,2,12,46,12,1,yes
1,20,19,18,5,11,16,14,0,no
1,27,22,23,4,15,17,11,1,yes
1,29,10,22,9,11,20,13,1,no
1,17,19,25,5,7,19,8,1,no
2,42,11,34,9,11,16,12,3,yes
3,16,17,28,3,12,16,13,2,no
2,26,12,28,9,20,13,16,3,no
4,28,5,28,6,6,17,12,2,yes
4,31,20,27,5,10,39,14,2,no
3,20,14,19,2,1,23,14,2,yes
2,34,15,27,2,9,21,11,2,no
5,29,12,27,9,7,20,8,4,yes
1,31,12,27,13,7,17,7,2,no
3,25,8,18,4,1,29,7,2,no
4,30,17,37,8,9,25,7,4,yes
0,29,18,29,9,4,32,11,3,no
1,22,13,22,13,3,33,9,1,yes
1,24,12,22,12,8,19,9,2,yes
0,32,12,25,14,14,21,10,3,no
3,24,13,27,2,6,17,12,2,yes
1,20,12,22,3,4,13,11,2,no
2,17,7,19,1,6,9,8,2,yes
2,25,11,23,1,8,11,15,3,no
4,22,9,27,8,6,25,12,3,yes
5,29,15,26,10,16,19,13,3,no
6,18,13,25,8,2,15,6,3,yes
5,37,14,26,9,4,37,12,3,no
3,22,11,21,3,2,20,9,7,yes
2,24,16,33,5,3,13,16,4,no
3,16,16,25,5,5,18,8,5,no
2,33,9,25,1,7,17,8,6,no
0,23,8,22,6,4,16,13,3,no
1,18,13,22,4,3,30,8,2,yes
2,24,13,25,5,7,14,14,2,no
3,26,15,28,9,9,18,9,1,yes
2,21,19,22,2,1,12,8,2,yes
0,20,8,20,6,10,21,13,2,no
3,33,9,33,7,8,19,9,3,yes
1,31,12,31,7,13,10,14,6,no
3,36,10,26,5,8,26,9,2,no
7,26,10,39,10,7,19,14,3,yes
6,15,8,28,0,0,15,8,5,yes
4,26,7,33,2,0,24,13,6,no
3,39,10,27,4,5,24,8,2,yes
1,23,9,28,5,2,30,8,5,no
3,17,11,33,2,16,19,13,2,no
3,24,10,30,4,11,19,11,2,no
2,20,20,25,2,2,10,7,3,yes
2,25,17,26,13,2,16,14,4,no
0,25,10,25,3,0,35,9,3,no
2,25,12,29,2,4,15,11,3,yes
1,23,9,15,5,9,14,6,4,yes
0,28,8,29,4,6,23,13,4,no
1,25,5,25,6,8,28,11,3,no
2,24,10,26,7,15,12,7,3,yes
5,27,11,29,9,12,13,8,2,yes
1,31,8,17,5,11,18,20,1,no
2,30,13,25,3,9,20,10,5,no
3,25,23,31,6,19,24,7,6,yes
3,23,11,20,7,9,23,6,3,yes
1,23,16,31,6,11,21,8,6,no
2,26,24,31,5,10,18,6,5,no
1,17,16,22,4,9,21,11,5,no
1,31,14,25,8,0,32,6,4,no
3,33,15,26,18,11,24,10,4,yes
0,30,5,27,3,6,23,13,0,no
2,17,15,17,5,8,37,11,1,yes
2,28,16,19,1,18,27,10,3,no
1,30,4,24,5,9,24,7,1,yes
3,32,8,22,3,13,38,10,3,no
6,23,13,25,8,15,10,6,2,yes
1,17,15,25,6,11,21,19,4,yes
0,27,13,18,6,12,25,14,5,no
2,26,10,21,0,5,16,11,3,no
2,13,4,22,7,2,29,5,3,no
2,23,11,23,5,10,23,10,3,yes
1,15,11,22,6,8,17,12,6,no
2,22,13,24,2,15,12,11,4,no
4,33,6,27,13,7,24,19,3,yes
7,31,5,28,6,1,21,4,4,yes
2,26,9,35,1,9,12,11,2,no
2,22,13,16,9,15,18,10,3,yes
1,17,8,17,12,26,10,15,2,no
1,29,14,24,2,6,19,10,2,yes
0,26,6,19,6,8,23,15,2,no
3,26,17,27,3,3,18,11,3,yes
1,22,3,18,8,8,12,8,1,no
3,20,10,31,6,2,12,10,4,yes
1,25,13,20,7,5,19,14,4,no
0,23,17,22,4,11,34,12,1,yes
1,34,14,34,9,29,22,16,1,no
2,29,14,32,7,6,49,8,1,no
3,15,17,19,17,10,28,7,1,yes
4,39,6,38,6,1,24,15,2,yes
2,21,16,22,8,7,9,9,5,no
5,22,16,26,12,6,17,8,4,yes
4,26,13,25,8,12,17,7,1,no
5,20,10,27,6,6,15,4,1,yes
2,29,10,23,5,16,43,7,3,no
1,42,10,38,10,14,28,12,6,no
7,16,12,27,11,20,37,11,6,yes
3,30,13,31,1,6,22,11,3,no
1,22,11,29,8,15,21,11,2,no
2,26,10,36,8,9,23,12,5,no
3,33,13,37,7,7,15,12,5,yes
3,18,18,26,2,5,23,5,4,yes
2,21,10,15,3,8,31,14,3,no
5,23,12,36,5,9,13,9,4,yes
1,23,9,20,4,11,25,18,3,no
3,16,8,25,2,5,31,16,3,no
6,28,13,27,7,5,22,18,3,yes
1,22,21,24,6,7,14,9,4,yes
1,20,7,33,6,6,30,15,3,no
1,36,7,29,0,3,8,11,2,no
2,23,16,33,0,2,12,10,3,yes
2,28,10,26,6,10,23,9,5,no
2,29,14,32,8,14,26,9,4,yes
3,25,18,23,4,5,25,5,4,yes
2,29,9,29,7,9,17,13,4,no
3,32,12,28,5,4,17,13,1,yes
0,36,9,25,6,8,20,8,2,no
